turbine_id,forecast_origin_utc,weather_run_utc,target_time_utc,horizon_h,predicted_power,model_version,fallback_used
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2025-12-31T20:00:00Z,1,0.898254,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2025-12-31T21:00:00Z,2,0.989831,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2025-12-31T22:00:00Z,3,0.989831,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2025-12-31T23:00:00Z,4,0.990274,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T00:00:00Z,5,0.989526,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T01:00:00Z,6,0.980957,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T02:00:00Z,7,0.883026,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T03:00:00Z,8,0.782647,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T04:00:00Z,9,0.567892,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T05:00:00Z,10,0.325363,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T06:00:00Z,11,0.137865,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T07:00:00Z,12,0.093558,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T08:00:00Z,13,0.040743,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T09:00:00Z,14,0.009431,hgb-jan-eval-train-before-20260101,false
1,2025-12-31T19:00:00Z,2025-12-31T12:00:00Z,2026-01-01T10:00:00Z,15,0.010148,hgb-jan-eval-train-before-20260101,false
