turbine_id,target_time_utc,actual_power
1,2025-12-31T19:00:00Z,0.015000
1,2025-12-31T20:00:00Z,0.160000
1,2025-12-31T21:00:00Z,0.636667
1,2025-12-31T22:00:00Z,0.988333
1,2025-12-31T23:00:00Z,0.990000
1,2026-01-01T00:00:00Z,0.988333
1,2026-01-01T01:00:00Z,0.956667
1,2026-01-01T02:00:00Z,0.826667
1,2026-01-01T03:00:00Z,0.571667
1,2026-01-01T04:00:00Z,0.408333
1,2026-01-01T05:00:00Z,0.336667
1,2026-01-01T06:00:00Z,0.115000
1,2026-01-01T07:00:00Z,0.045000
1,2026-01-01T08:00:00Z,0.065000
1,2026-01-01T09:00:00Z,0.018333
1,2026-01-01T10:00:00Z,0.010000
1,2026-01-01T11:00:00Z,0.010000
1,2026-01-01T12:00:00Z,0.011667
1,2026-01-01T13:00:00Z,0.023333
1,2026-01-01T14:00:00Z,0.020000
1,2026-01-01T15:00:00Z,0.073333
1,2026-01-01T16:00:00Z,0.076667
1,2026-01-01T17:00:00Z,0.043333
1,2026-01-01T18:00:00Z,0.010000
1,2026-01-01T19:00:00Z,0.011667
1,2026-01-01T20:00:00Z,0.010000
1,2026-01-01T21:00:00Z,0.010000
1,2026-01-01T22:00:00Z,0.011667
1,2026-01-01T23:00:00Z,0.010000
1,2026-01-02T00:00:00Z,0.010000
1,2026-01-02T01:00:00Z,0.010000
1,2026-01-02T02:00:00Z,0.010000
1,2026-01-02T03:00:00Z,0.010000
1,2026-01-02T04:00:00Z,0.075000
1,2026-01-02T05:00:00Z,0.280000
1,2026-01-02T06:00:00Z,0.405000
1,2026-01-02T07:00:00Z,0.646667
1,2026-01-02T08:00:00Z,0.843333
1,2026-01-02T09:00:00Z,0.710000
1,2026-01-02T10:00:00Z,0.575000
1,2026-01-02T11:00:00Z,0.423333
1,2026-01-02T12:00:00Z,0.358333
1,2026-01-02T13:00:00Z,0.425000
1,2026-01-02T14:00:00Z,0.445000
1,2026-01-02T15:00:00Z,0.608333
1,2026-01-02T16:00:00Z,0.875000
1,2026-01-02T17:00:00Z,0.605000
1,2026-01-02T18:00:00Z,0.316667
1,2026-01-02T19:00:00Z,0.261667
1,2026-01-02T20:00:00Z,0.221667
1,2026-01-02T21:00:00Z,0.361667
1,2026-01-02T22:00:00Z,0.178333
1,2026-01-02T23:00:00Z,0.210000
1,2026-01-03T00:00:00Z,0.255000
1,2026-01-03T01:00:00Z,0.160000
1,2026-01-03T02:00:00Z,0.260000
1,2026-01-03T03:00:00Z,0.228333
1,2026-01-03T04:00:00Z,0.165000
1,2026-01-03T05:00:00Z,0.151667
1,2026-01-03T06:00:00Z,0.073333
1,2026-01-03T07:00:00Z,0.133333
1,2026-01-03T08:00:00Z,0.176667
1,2026-01-03T09:00:00Z,0.171667
1,2026-01-03T10:00:00Z,0.196667
1,2026-01-03T11:00:00Z,0.243333
1,2026-01-03T12:00:00Z,0.255000
1,2026-01-03T13:00:00Z,0.521667
1,2026-01-03T14:00:00Z,0.215000
1,2026-01-03T15:00:00Z,0.568333
1,2026-01-03T16:00:00Z,0.298333
1,2026-01-03T17:00:00Z,0.190000
1,2026-01-03T18:00:00Z,0.308333
1,2026-01-03T19:00:00Z,0.231667
1,2026-01-03T20:00:00Z,0.286667
1,2026-01-03T21:00:00Z,0.280000
1,2026-01-03T22:00:00Z,0.190000
1,2026-01-03T23:00:00Z,0.273333
1,2026-01-04T00:00:00Z,0.266667
1,2026-01-04T01:00:00Z,0.391667
1,2026-01-04T02:00:00Z,0.308333
1,2026-01-04T03:00:00Z,0.501667
1,2026-01-04T04:00:00Z,0.071667
1,2026-01-04T05:00:00Z,0.071667
1,2026-01-04T06:00:00Z,0.073333
1,2026-01-04T07:00:00Z,0.010000
1,2026-01-04T08:00:00Z,0.010000
1,2026-01-04T09:00:00Z,0.010000
