turbine_id,forecast_origin_utc,weather_run_utc,target_time_utc,horizon_h,predicted_power,model_version,fallback_used
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-30T20:00:00Z,1,0.568589,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-30T21:00:00Z,2,0.600759,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-30T22:00:00Z,3,0.688079,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-30T23:00:00Z,4,0.687528,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-31T00:00:00Z,5,0.687528,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-31T01:00:00Z,6,0.692146,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-31T02:00:00Z,7,0.737857,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-31T03:00:00Z,8,0.730124,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-31T04:00:00Z,9,0.864206,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-31T05:00:00Z,10,0.873621,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-31T06:00:00Z,11,0.920009,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-31T07:00:00Z,12,0.933791,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-31T08:00:00Z,13,0.936237,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-31T09:00:00Z,14,0.929064,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-31T10:00:00Z,15,0.910573,hgb-v2-asof-20260131,false
1,2026-01-30T19:00:00Z,2026-01-30T12:00:00Z,2026-01-31T11:00:00Z,16,0.930418,hgb-v2-asof-20260131,false
